event1,event2,ratio_winner,ratio_median,ratio_avg
Björnfrossa,Göteborg Trail,1.140106726583345,1.223039650180228,1.1791453231352185
Björnfrossa,Hammarby Alpin Marathon,1.6477309628186394,1.6516598393360642,1.570182095504282
Björnfrossa,Idre 45 km,1.6729584372231037,1.4004116038453949,1.3911359210868337
Björnfrossa,Jättelångt,0.9401431284450414,1.007717026145382,0.9568324309562324
Björnfrossa,Kolmården Ultra Trail,1.1085668250587144,1.141763050953423,1.291486950774608
Björnfrossa,Kullamannen 100 km,0.6090319192828476,0.5525915312461065,0.5444957335881957
Björnfrossa,Kullamannen 100 miles,0.3712542813113045,0.33529892999181904,0.30176519285791586
Björnfrossa,Kullamannen 50 km,1.429398922497271,1.2245954501079785,1.3107043468035904
Björnfrossa,Lejonbragden 100 km,0.7740745213895928,0.8505161699854396,
Björnfrossa,Lejonbragden 50 km,1.4124718736882078,1.5028438886890334,
Björnfrossa,Peters Trail 104 km,0.582687394137743,0.5988513396215497,0.5490423007927782
Björnfrossa,Peters Trail 52 km,1.206846830776549,1.182601656985049,
Björnfrossa,Sandsjöbacka 60 km,1.1400907163219165,1.0527765885748923,0.9742558366337528
Björnfrossa,Sandsjöbacka 90 km,0.6064977364748771,0.6059327099246884,0.5241562759767249
Björnfrossa,Silverleden Ultra,1.0616704371591845,0.9082431928384931,0.899370999656886
Björnfrossa,Snapphaneracet,1.1023204029816296,1.207708092232585,
Björnfrossa,Sätila 85 km,0.7286246354049809,0.7489054528349676,0.7283938112481325
Björnfrossa,Sörmland Ultra Marathon,1.5528968458904764,1.5358785989907984,1.5475245880055297
Björnfrossa,Sörmlands100 100 km,0.6581875864823827,0.6216378113653208,0.6434698215713935
Björnfrossa,Sörmlands100 100 miles,0.28950415070214336,0.319749079089144,0.2948788114414241
Björnfrossa,Sörmlands100 55 km,1.3570067526910476,1.1904122851583094,1.221735771310842
Björnfrossa,TEC 100 miles,0.3346570617351532,0.3582712966371514,0.3901781126905292
Björnfrossa,TEC 200 miles,0.11254255677029242,0.17145204193428526,
Björnfrossa,TEC 46 km,1.4936381431767338,1.5276937157703607,1.8016354788541615
Björnfrossa,TEC 50 miles,0.8090286912363779,0.7945195838824839,0.805696334008266
Björnfrossa,Trail genom Skåne,1.3384384582412872,1.4456337634671463,
Björnfrossa,Trans Scania,0.17183888583160478,0.19427887548692918,
Björnfrossa,UKA pain 50 km,1.3759575621991729,1.1822132524787115,1.2449269105617449
Björnfrossa,UTMB,0.28145464630531625,0.27292116965901614,
Björnfrossa,Ultravasan 90,0.8841588255793692,0.9115432044393552,0.7617021703181468
