,country,event,name,dist_km,year,finishers,duration
430,NOR,102226,UltraBirken 60 km løp,60.0,2024,246,0 days 04:40:24.666666666
28,GBR,94213,Country to Capital,69.20162,2025,246,0 days 05:02:11.600000
735,FRA,104068,Grand Raid du Guillestrois et du Queyras - Trail des Lacs,45.0,2024,246,0 days 05:51:19
249,GBR,100793,London Lea Valley 50 km,50.0,2025,246,0 days 03:28:54.200000
669,FRA,103871,Euskal Raid Ultra Trail - solo,130.0,2024,244,0 days 16:32:11.666666666
618,FRA,103517,Trail Du Hautacam,62.0,2024,242,0 days 09:39:34.500000
761,IRL,104115,Donadea 50k Race,50.0,2025,241,0 days 02:59:09.800000
997,FRA,104884,Ultra Mafate Trail Tour,70.0,2024,240,0 days 08:45:29
129,SUI,99196,K54 Scenic Trail,54.0,2024,240,0 days 06:18:11
132,GER,99382,Schweriner Seentrail,61.0,2025,240,0 days 04:36:22.200000
980,FRA,104855,BK65,65.0,2024,239,0 days 08:16:15
1661,ITA,111224,Ultra Trail Lago d'Orta (UTLO) 55 Km,54.0,2024,239,0 days 05:10:32.500000
861,FRA,104428,Le Grand Trail de Serre-Ponçon - Trail Lac et Montagnes,46.0,2024,239,0 days 04:47:37.250000
720,GBR,104013,Chiltern Wonderland 50,80.467,2024,239,0 days 07:05:48.500000
1766,ESP,114057,CMG -Transgavarres,51.0,2024,238,0 days 03:56:09.750000
748,GBR,104083,Ultra Wales 50,80.467,2024,238,0 days 10:21:33
603,FRA,103292,Grand Raid des Pyrénées - Ultra Tour 160,160.0,2021,237,1 days 14:27:21
736,FRA,104069,Grand Raid du Guillestrois et du Queyras - Trail des Crêtes,65.0,2024,237,0 days 08:34:53.333333333
1093,ITA,105698,SciaccheTrail,47.0,2025,236,0 days 04:35:03.666666666
313,FRA,101557,Ultra Tour des Côtes d'Armor (UTCA) 60 km,60.0,2025,236,0 days 04:39:55.750000
1698,ITA,111799,Valle dei Segni Wine Trail,55.0,2024,235,0 days 05:01:52.333333333
1699,ESP,111811,Trail Ribeira Sacra,48.0,2024,235,0 days 05:28:07.500000
258,FRA,100865,Céven Trail - Ultra du Bout du Cirque,101.0,2025,235,0 days 10:57:13.400000
988,FRA,104872,Trail de la Grande Champagne,55.0,2024,234,0 days 04:27:51
1393,FRA,108364,Les 40 Bosses - 75km,75.0,2024,232,0 days 08:01:05
1554,ITA,110015,Trofeo Kima - La Grande Corsa Sul Sentiero Roma,52.0,2024,232,0 days 06:07:39
29,FRA,94409,Courchevel X-Trail 55 km,55.0,2024,232,0 days 06:19:00.666666666
145,AUT,99457,SPORT 2000 Traunsee Bergmarathon,63.0,2024,231,0 days 07:36:34.750000
546,FRA,102964,Trans Aubrac - Ultra Trail,105.0,2025,230,0 days 10:25:43.500000
312,FRA,101556,Ultra Tour des Côtes d'Armor (UTCA) 92 km,92.0,2025,229,0 days 07:22:35.750000
384,BEL,102048,La Chouffe Trail 51km,51.0,2024,228,0 days 04:04:32.750000
459,FRA,102454,Trail des Piqueurs 52 km,52.0,2025,228,0 days 05:07:49.333333333
974,FRA,104841,Trail du Haut-Barr,52.0,2025,228,0 days 04:26:41.500000
402,ESP,102091,ehunmilak Ultra-Trail 171 km,171.0,2024,227,0 days 23:38:21
206,POL,100514,Ultramaraton Chudy Wawrzyniec 50 Km,52.0,2024,226,0 days 04:44:19.250000
239,ITA,100740,Orva Ultramaratona della Pace sul Lamone,45.0,2025,226,0 days 02:52:07.750000
265,FRA,100948,Trail de la Pierre qui Tourne,89.0,2025,225,0 days 07:55:10.750000
614,FRA,103484,Ut4M 50 Taillefer,50.0,2024,225,0 days 05:49:34
106,SUI,98679,Swiss Canyon Trail 81K,81.0,2024,224,0 days 07:53:18
1370,GBR,108309,Snowdonia Sea2Sky 53k,53.0,2024,224,0 days 04:49:38
750,GBR,104085,Yr Wyddfa Snowdon Ultra 50,75.63898,2024,224,0 days 10:10:39.750000
858,FRA,104425,Grand Raid du Finistère - La Camaret-sur-Mer,54.0,2024,223,0 days 05:15:51
1503,SLO,109752,K24 Ultra Trail - 50 km,50.0,2024,222,0 days 04:41:34.666666666
75,FRA,98130,Trail des Pays de Monts,53.0,2025,222,0 days 04:02:41
97,FRA,98593,Le Grand Raid 73 - Le Bauju,50.0,2024,220,0 days 05:47:44
461,FRA,102456,Trail du Lac de Paladru - L'Ultra-Trail du Pays Voironnais,84.0,2025,218,0 days 07:51:40.666666666
174,FIN,100034,NUTS Ylläs Pallas 100km Trail Ultra,100.0,2024,218,0 days 10:12:50
701,GBR,103984,Lakes in a day Ultra,80.467,2024,218,0 days 09:17:32.750000
1780,ESP,114548,Long Trail Guara Somontano,50.0,2024,218,0 days 04:43:34.250000
1380,CZE,108335,Krakonosova Stovka 100 km,100.0,2024,217,0 days 10:58:40
475,GBR,102594,South Downs 50 km,50.0,2024,216,0 days 03:30:06.333333333
182,GBR,100123,The Fox 62k,62.0,2024,216,0 days 05:02:14
1674,POL,111411,Bieg 7 dolin - 100 km Ultramaraton,100.0,2024,215,0 days 09:36:13
716,GBR,104009,Thames Path 100,160.934,2025,215,0 days 14:25:28.200000
584,FRA,103220,Trail de Haute-Provence - Cap à Lure,80.0,2024,215,0 days 08:14:38.750000
797,GER,104185,Alb Marathon Schwäbisch Gmünd,50.0,2024,215,0 days 03:31:22.500000
1605,FRA,110794,Trail des Brosses,50.0,2024,214,0 days 03:56:41
179,AUT,100119,Grossglockner ULTRA-Trail (GGUT 110),110.0,2024,214,0 days 14:20:43
104,CZE,98671,Strážnicka 100 (SC),100.0,2024,214,0 days 10:11:16.750000
1142,ITA,106528,Adamello Ultra Trail 100 km,100.0,2024,213,0 days 11:40:43
958,FRA,104779,Trail Des Maures - Trail des Braconniers,60.0,2025,213,0 days 06:33:01.500000
1662,GBR,111233,Chiltern Ridge Winter 50k,50.0,2024,212,0 days 03:38:00
832,ITA,104327,Tuscany Crossing TC103K,103.0,2025,212,0 days 10:06:06.400000
1256,FRA,107458,La LyonSaintéLyon - Étape 2: St. Etienne-Lyon,77.0,2022,212,0 days 07:15:31
967,FRA,104806,Trail des Hauts Forts,52.0,2024,211,0 days 05:44:55.500000
713,FRA,104002,Trail de la Vallée des Lacs - Le Grand Trail,82.0,2024,210,0 days 08:48:49
1555,SVK,110022,Strečnianska mašľa,50.0,2024,210,0 days 05:23:33.250000
1391,FRA,108362,Gapen'Cimes - Trail des 3 Cols,49.0,2023,209,0 days 04:10:47
1357,ITA,108199,Top Dolomites Trail Run,49.0,2024,209,0 days 05:22:39
275,SUI,101007,Trail Verbier Saint-Bernard by UTMB - X-Alpine,140.0,2023,208,0 days 19:28:08.666666666
1120,ITA,106172,Dolomiti Beer Trail,55.0,2025,208,0 days 05:01:25.333333333
123,GBR,98994,The Keswick 50K Trail Race Ultra,50.0,2024,207,0 days 04:52:16.250000
