event1,event2,ratio
Borås 91 km,Ursvik Ultra 75 km,1.2608508264881857
Borås 91 km,Österlen Spring Trail,1.8133158766221265
Ecotrail Stockholm 45 km,Aros Marathon 50 km,1.0703704788520838
Ecotrail Stockholm 45 km,Björnfrossa,0.7066461254737186
Ecotrail Stockholm 45 km,Black river run 100 miles,0.23471802441367354
Ecotrail Stockholm 45 km,Black river run 50 miles,0.48525091594167563
Ecotrail Stockholm 45 km,Borås 91 km,0.43232863491042167
Ecotrail Stockholm 45 km,Ecotrail Stockholm 80,0.5257709232440747
Ecotrail Stockholm 45 km,Fjällmaraton 100 km,0.3215998993931548
Ecotrail Stockholm 45 km,Fjällmaraton 45 km,0.8448049728017759
Ecotrail Stockholm 45 km,Gax 100 miles,0.21269476952933655
Ecotrail Stockholm 45 km,Gotland Ultra,0.9763637913022902
Ecotrail Stockholm 45 km,Gotrun enkle,0.6244916538485401
Ecotrail Stockholm 45 km,Göteborg Trail,0.830386184023685
Ecotrail Stockholm 45 km,Hammarby Alpin Marathon,0.9776136932128024
Ecotrail Stockholm 45 km,Idre 45 km,0.8793792631711773
Ecotrail Stockholm 45 km,Jättelångt,0.6476084281539087
Ecotrail Stockholm 45 km,Kolmården Ultra Trail,0.8099798763254158
Ecotrail Stockholm 45 km,Kullamannen 100 km,0.35574358312606735
Ecotrail Stockholm 45 km,Kullamannen 100 miles,0.1763327006197544
Ecotrail Stockholm 45 km,Kullamannen 50 km,0.8378133642118504
Ecotrail Stockholm 45 km,Lejonbragden 100 km,0.4761230309874251
Ecotrail Stockholm 45 km,Sandsjöbacka 60 km,0.7356253024496437
Ecotrail Stockholm 45 km,Sandsjöbacka 90 km,0.4035448136958711
Ecotrail Stockholm 45 km,Sätila 85 km,0.46748667017486667
Ecotrail Stockholm 45 km,Sörmland Ultra Marathon,1.0019523639893622
Ecotrail Stockholm 45 km,Sörmlands100 100 km,0.4546363565190561
Ecotrail Stockholm 45 km,Sörmlands100 100 miles,0.2047696961633898
Ecotrail Stockholm 45 km,Sörmlands100 55 km,0.854899661007313
Ecotrail Stockholm 45 km,TEC 100 miles,0.23738811193766196
Ecotrail Stockholm 45 km,TEC 46 km,1.118963572756403
Ecotrail Stockholm 45 km,TEC 50 miles,0.5898197362028714
Ecotrail Stockholm 45 km,UKA pain 50 km,0.8493484699603616
Ecotrail Stockholm 45 km,Ultravasan 90,0.5010430195377769
Ecotrail Stockholm 45 km,Ursvik Ultra 45 km,0.9615171320016015
Ecotrail Stockholm 45 km,Ursvik Ultra 75 km,0.5609095979102126
Ecotrail Stockholm 45 km,VXO 100 km,0.5662600547843029
Ecotrail Stockholm 45 km,Österlen Spring Trail,0.7895592976884963
Ecotrail Stockholm 45 km,Östgöta ultra trail,0.7079989561773905
Ecotrail Stockholm 80,Aros Marathon 50 km,2.011672086784474
Ecotrail Stockholm 80,Björnfrossa,1.2394461486062398
Ecotrail Stockholm 80,Black river run 100 miles,0.470035102564089
Ecotrail Stockholm 80,Black river run 50 miles,1.1663899534338296
Ecotrail Stockholm 80,Borås 50 km,1.916813204327487
Ecotrail Stockholm 80,Borås 91 km,0.7787987855146482
Ecotrail Stockholm 80,Ecotrail Stockholm 45 km,1.9247048546190761
Ecotrail Stockholm 80,Fjällmaraton 100 km,0.6323908763371174
Ecotrail Stockholm 80,Fjällmaraton 45 km,1.6350904905134476
Ecotrail Stockholm 80,Gax 100 miles,0.41762252337905476
Ecotrail Stockholm 80,Gotland Run 511 km,0.08573472443206326
Ecotrail Stockholm 80,Gotland Ultra,1.9894429370576125
Ecotrail Stockholm 80,Gotrun enkle,1.1545701544793188
Ecotrail Stockholm 80,Göteborg Trail,1.6016705086673124
Ecotrail Stockholm 80,Hammarby Alpin Marathon,2.0440669580728548
Ecotrail Stockholm 80,Idre 45 km,1.7450129401611012
Ecotrail Stockholm 80,Jättelångt,1.259761906978306
Ecotrail Stockholm 80,Kolmården Ultra Trail,1.1872516667789077
Ecotrail Stockholm 80,Kullamannen 100 km,0.7238029383944165
Ecotrail Stockholm 80,Kullamannen 100 miles,0.39875939672789235
Ecotrail Stockholm 80,Kullamannen 50 km,1.548823464155096
Ecotrail Stockholm 80,Lejonbragden 100 km,1.2866097120296223
Ecotrail Stockholm 80,Peters Trail 104 km,0.7444951626331352
Ecotrail Stockholm 80,Peters Trail 52 km,1.6444571149303575
Ecotrail Stockholm 80,Sandsjöbacka 60 km,1.2787673505791217
Ecotrail Stockholm 80,Sandsjöbacka 90 km,0.6964418024563539
Ecotrail Stockholm 80,Silverleden Ultra,1.1634910362654827
Ecotrail Stockholm 80,Snapphaneracet,1.851152487030335
Ecotrail Stockholm 80,Sätila 85 km,0.8868901740828046
Ecotrail Stockholm 80,Sörmland Ultra Marathon,1.9068592300651397
Ecotrail Stockholm 80,Sörmlands100 100 km,0.8454687199647681
Ecotrail Stockholm 80,Sörmlands100 100 miles,0.35786743492641787
Ecotrail Stockholm 80,Sörmlands100 55 km,1.5177865207968206
Ecotrail Stockholm 80,TEC 100 miles,0.4483266163198267
Ecotrail Stockholm 80,TEC 200 miles,0.15532752174182488
Ecotrail Stockholm 80,TEC 46 km,2.1577258344392725
Ecotrail Stockholm 80,TEC 50 miles,1.0629801810297563
Ecotrail Stockholm 80,Trans Scania,0.2813694912438731
Ecotrail Stockholm 80,UKA pain 50 km,1.5375666521663642
Ecotrail Stockholm 80,UTMB,0.2999645534162726
Ecotrail Stockholm 80,Ultravasan 90,0.9939479961996143
Ecotrail Stockholm 80,Ursvik Ultra 45 km,1.8763311522365806
Ecotrail Stockholm 80,Ursvik Ultra 75 km,1.0003728166578305
Ecotrail Stockholm 80,VXO 100 km,1.121356684231184
Ecotrail Stockholm 80,Österlen Spring Trail,1.541940554810921
Ecotrail Stockholm 80,Östgöta ultra trail,1.3405653334009187
Fjällmaraton 100 km,Aros Marathon 50 km,3.0581079465609804
Fjällmaraton 100 km,Björnfrossa,2.0710224522452947
Fjällmaraton 100 km,Black river run 100 miles,0.7736026156558328
Fjällmaraton 100 km,Black river run 50 miles,1.2892133788625193
Fjällmaraton 100 km,Borås 91 km,1.2340352611537435
Fjällmaraton 100 km,Ecotrail Stockholm 45 km,3.1338183713877767
Fjällmaraton 100 km,Ecotrail Stockholm 80,1.6004419329579485
Fjällmaraton 100 km,Fjällmaraton 45 km,2.6423398345326343
Fjällmaraton 100 km,Gax 100 miles,0.6868552589771406
Fjällmaraton 100 km,Gotland Run 511 km,0.13295036764705884
Fjällmaraton 100 km,Gotland Ultra,2.887330727409385
Fjällmaraton 100 km,Gotrun enkle,1.808526527677185
Fjällmaraton 100 km,Göteborg Trail,2.4940479799806723
Fjällmaraton 100 km,Hammarby Alpin Marathon,3.2295849283881077
Fjällmaraton 100 km,Idre 45 km,2.6961378156835187
Fjällmaraton 100 km,Jättelångt,2.045382118142049
Fjällmaraton 100 km,Kolmården Ultra Trail,2.5963011436779113
Fjällmaraton 100 km,Kullamannen 100 km,1.1002041057748022
Fjällmaraton 100 km,Kullamannen 100 miles,0.6203638591672727
Fjällmaraton 100 km,Kullamannen 50 km,2.6252571655638723
Fjällmaraton 100 km,Lejonbragden 100 km,2.275345185251277
Fjällmaraton 100 km,Peters Trail 104 km,1.0222861330434119
Fjällmaraton 100 km,Sandsjöbacka 60 km,2.013886286911251
Fjällmaraton 100 km,Sandsjöbacka 90 km,1.133389481749604
Fjällmaraton 100 km,Silverleden Ultra,1.8508613999342216
Fjällmaraton 100 km,Snapphaneracet,2.3917349933778214
Fjällmaraton 100 km,Sätila 85 km,1.4204130908625876
Fjällmaraton 100 km,Sörmland Ultra Marathon,3.081787154798973
Fjällmaraton 100 km,Sörmlands100 100 km,1.2823057058410248
Fjällmaraton 100 km,Sörmlands100 100 miles,0.6135155316884169
Fjällmaraton 100 km,Sörmlands100 55 km,2.5738298454077237
Fjällmaraton 100 km,TEC 100 miles,0.7948045885799856
Fjällmaraton 100 km,TEC 50 miles,1.6475132651333435
Fjällmaraton 100 km,UKA pain 50 km,2.4744676866255535
Fjällmaraton 100 km,UTMB,0.37547482642396857
Fjällmaraton 100 km,Ultravasan 90,1.5169933615461773
Fjällmaraton 100 km,Ursvik Ultra 45 km,3.0693615231309512
Fjällmaraton 100 km,Ursvik Ultra 75 km,1.6300370622838831
Fjällmaraton 100 km,VXO 100 km,1.778487111221726
Fjällmaraton 100 km,Österlen Spring Trail,2.382265732217294
Fjällmaraton 100 km,Östgöta ultra trail,2.058874775319674
Fjällmaraton 45 km,Aros Marathon 50 km,1.2527833536807935
Fjällmaraton 45 km,Björnfrossa,0.811495311430205
Fjällmaraton 45 km,Black river run 100 miles,0.29844095859203346
Fjällmaraton 45 km,Black river run 50 miles,0.7077736617368436
Fjällmaraton 45 km,Borås 91 km,0.5387570018671646
Fjällmaraton 45 km,Ecotrail Stockholm 45 km,1.1962526251949273
Fjällmaraton 45 km,Ecotrail Stockholm 80,0.6226239256722652
Fjällmaraton 45 km,Fjällmaraton 100 km,0.38358916392976855
Fjällmaraton 45 km,Gax 100 miles,0.2579068018420709
Fjällmaraton 45 km,Gotland Ultra,1.2726308769016803
Fjällmaraton 45 km,Gotrun enkle,0.7134828698001078
Fjällmaraton 45 km,Göteborg Trail,0.9912758081356285
Fjällmaraton 45 km,Hammarby Alpin Marathon,1.2827497145767373
Fjällmaraton 45 km,Idre 45 km,1.1072795046834099
Fjällmaraton 45 km,Jättelångt,0.8610270776239982
Fjällmaraton 45 km,Kolmården Ultra Trail,1.0186392427504352
Fjällmaraton 45 km,Kullamannen 100 km,0.43229543990838815
Fjällmaraton 45 km,Kullamannen 100 miles,0.24540773906587188
Fjällmaraton 45 km,Kullamannen 50 km,0.9761605055945799
Fjällmaraton 45 km,Peters Trail 104 km,0.442023368644676
Fjällmaraton 45 km,Sandsjöbacka 60 km,0.7522885408856153
Fjällmaraton 45 km,Sandsjöbacka 90 km,0.4286351344647251
Fjällmaraton 45 km,Silverleden Ultra,0.6828832400252317
Fjällmaraton 45 km,Snapphaneracet,1.0842194211675233
Fjällmaraton 45 km,Sätila 85 km,0.5380579928358132
Fjällmaraton 45 km,Sörmland Ultra Marathon,1.2022129581332204
Fjällmaraton 45 km,Sörmlands100 100 km,0.5055804913350413
Fjällmaraton 45 km,Sörmlands100 100 miles,0.20743289866921746
Fjällmaraton 45 km,Sörmlands100 55 km,1.0301887365301303
Fjällmaraton 45 km,TEC 100 miles,0.2734589575886252
Fjällmaraton 45 km,TEC 46 km,1.3428987106807806
Fjällmaraton 45 km,TEC 50 miles,0.7057860228819433
Fjällmaraton 45 km,Trail genom Skåne,1.0613811102925748
Fjällmaraton 45 km,UKA pain 50 km,0.9788342626493751
Fjällmaraton 45 km,UTMB,0.1585889417062797
Fjällmaraton 45 km,Ultravasan 90,0.6066026806195121
Fjällmaraton 45 km,Ursvik Ultra 45 km,1.1604219237302378
Fjällmaraton 45 km,Ursvik Ultra 75 km,0.6443705219554438
Fjällmaraton 45 km,VXO 100 km,0.678072840974149
Fjällmaraton 45 km,Öland Ultra,1.2044560822444699
Fjällmaraton 45 km,Österlen Spring Trail,0.9578761637450881
Fjällmaraton 45 km,Östgöta ultra trail,0.8225247735144171
Gax 100 miles,Aros Marathon 50 km,4.056749136658483
Gax 100 miles,Björnfrossa,3.0187518013541044
Gax 100 miles,Black river run 100 miles,1.1027918377162802
Gax 100 miles,Black river run 50 miles,2.2194988246265965
Gax 100 miles,Borås 91 km,2.1479548768321695
Gax 100 miles,Ecotrail Stockholm 45 km,4.7836735238840085
Gax 100 miles,Ecotrail Stockholm 80,2.421688121225599
Gax 100 miles,Fjällmaraton 100 km,1.4669036197566072
Gax 100 miles,Fjällmaraton 45 km,4.001851122014852
Gax 100 miles,Gotland Run 511 km,0.21627875323261195
Gax 100 miles,Gotland Ultra,4.502281698059074
Gax 100 miles,Gotrun enkle,2.7222399794818317
Gax 100 miles,Göteborg Trail,3.5499685732243873
Gax 100 miles,Hammarby Alpin Marathon,4.40959059893859
Gax 100 miles,Idre 45 km,3.9856239877793187
Gax 100 miles,Jättelångt,3.000045657827102
Gax 100 miles,Kullamannen 100 km,1.61911889461439
Gax 100 miles,Kullamannen 100 miles,0.9524418311993174
Gax 100 miles,Kullamannen 50 km,3.7941397635925704
Gax 100 miles,Lejonbragden 100 km,2.6664485261800706
Gax 100 miles,Lejonbragden 50 km,6.113934015601517
Gax 100 miles,Peters Trail 104 km,1.6406411701124577
